Trial-ID,Status,Iteration,lr_scaler,max_depth,n_estimators,subsample,Objective,test_mse
10,COMPLETED,1,0.9779184501803708,2,232,0.6896202642898956,12.947157039338865,13.90801919156112
9,COMPLETED,1,0.9779184501803708,2,232,0.6896202642898956,14.594987139271591,13.449933815295445
8,COMPLETED,1,0.9779184501803708,2,232,0.6896202642898956,12.360123303476175,13.19716002148881
7,COMPLETED,1,0.9779184501803708,2,232,0.6896202642898956,12.983471439942866,13.708526506295009
6,COMPLETED,1,0.9779184501803708,2,232,0.6896202642898956,12.781325902621793,13.180858373792177
5,COMPLETED,1,0.9779184501803708,2,232,0.6896202642898956,12.365271014034336,14.024370685973532
4,COMPLETED,1,0.9779184501803708,2,232,0.6896202642898956,13.20870461369558,11.928817142373214
3,COMPLETED,1,0.9779184501803708,2,232,0.6896202642898956,12.771886463279385,14.129704275437883
2,COMPLETED,1,0.9779184501803708,2,232,0.6896202642898956,13.003044683106811,13.834733702104133
1,COMPLETED,1,0.9779184501803708,2,232,0.6896202642898956,14.021927438021581,13.467839377951472
20,COMPLETED,1,0.9779184501803708,2,232,0.6896202642898956,13.10605195615963,14.200495062047295
19,COMPLETED,1,0.9779184501803708,2,232,0.6896202642898956,13.308106381740506,14.497081040713985
18,COMPLETED,1,0.9779184501803708,2,232,0.6896202642898956,14.695608129381087,12.672446318537904
17,COMPLETED,1,0.9779184501803708,2,232,0.6896202642898956,12.436656146901901,12.469823563365306
16,COMPLETED,1,0.9779184501803708,2,232,0.6896202642898956,16.299822231061196,14.643888113223102
15,COMPLETED,1,0.9779184501803708,2,232,0.6896202642898956,13.845218857233744,17.592402877000254
14,COMPLETED,1,0.9779184501803708,2,232,0.6896202642898956,13.910631441947766,13.839471560047224
13,COMPLETED,1,0.9779184501803708,2,232,0.6896202642898956,12.390946823462288,13.723004665374269
12,COMPLETED,1,0.9779184501803708,2,232,0.6896202642898956,13.510349722778793,13.509656849621116
11,COMPLETED,1,0.9779184501803708,2,232,0.6896202642898956,13.836646874097655,14.23999998245444
30,COMPLETED,1,0.5910573270256477,6,116,0.9867051706110008,15.183556606231315,10.989730411779952
29,COMPLETED,1,0.5910573270256477,6,116,0.9867051706110008,13.977693812601139,9.566984575757854
28,COMPLETED,1,0.5910573270256477,6,116,0.9867051706110008,14.156413930450446,10.064848052703306
27,COMPLETED,1,0.5910573270256477,6,116,0.9867051706110008,13.68583366709514,8.863803833154165
26,COMPLETED,1,0.5910573270256477,6,116,0.9867051706110008,13.969257973866105,10.338764058163958
25,COMPLETED,1,0.9779184501803708,2,232,0.6896202642898956,12.004153955589604,14.274537632957447
24,COMPLETED,1,0.9779184501803708,2,232,0.6896202642898956,11.014973295954151,12.012563561264074
23,COMPLETED,1,0.9779184501803708,2,232,0.6896202642898956,13.272601909956824,12.756052024968964
22,COMPLETED,1,0.9779184501803708,2,232,0.6896202642898956,13.697201318315177,14.657139974021595
21,COMPLETED,1,0.9779184501803708,2,232,0.6896202642898956,14.6063733889184,16.392822899294988
40,COMPLETED,1,0.5910573270256477,6,116,0.9867051706110008,14.575675070626085,9.822703557988682
39,COMPLETED,1,0.5910573270256477,6,116,0.9867051706110008,14.811243768666884,10.339604999948627
38,COMPLETED,1,0.5910573270256477,6,116,0.9867051706110008,13.407796976840013,9.724015877062575
37,COMPLETED,1,0.5910573270256477,6,116,0.9867051706110008,13.757576276706404,10.121638236858804
36,COMPLETED,1,0.5910573270256477,6,116,0.9867051706110008,13.732564292714176,9.713661949944036
35,COMPLETED,1,0.5910573270256477,6,116,0.9867051706110008,14.886953356088188,9.71045526883249
34,COMPLETED,1,0.5910573270256477,6,116,0.9867051706110008,14.537923763021286,9.394168072485131
