mean_reward,convergence_episode,last_mean_reward,evals
185.61490683229815,132.0,224.82,190
153.0463917525773,,194.44,190
157.2736842105263,,178.6,190
259.82608695652175,99.0,295.51,190
184.7125,126.0,235.6,190
179.0848484848485,145.0,220.33,190
127.46808510638297,,144.91,190
246.0,99.0,289.57,190
194.4935064935065,115.0,237.33,190
196.01315789473685,100.0,250.78,190
188.0,145.0,240.02,190
179.40718562874252,139.0,242.39,190
200.85714285714286,108.0,250.95,190
247.1,99.0,290.92,190
193.4805194805195,140.0,236.61,190
249.2436974789916,99.0,290.02,190
239.38709677419354,103.0,280.96,190
238.8709677419355,99.0,288.79,190
189.0253164556962,124.0,220.35,190
290.68932038834953,99.0,298.85,190
184.12345679012347,129.0,236.32,190
140.4882629107981,,169.28,190
169.0457142857143,146.0,216.79,190
228.5,105.0,278.13,190
213.98561151079136,101.0,251.64,190
