mean_reward,convergence_episode,last_mean_reward,evals
151.35897435897436,,163.66,190
99.99661016949153,,46.08,190
238.024,99.0,274.21,190
145.41463414634146,,124.61,190
111.99248120300751,,118.83,190
207.77777777777777,99.0,207.53,190
122.69672131147541,220.0,206.52,190
119.224,,150.78,190
183.23926380368098,128.0,206.09,190
153.93298969072166,,187.19,190
141.20283018867926,,146.84,190
119.88353413654619,,67.34,190
129.66812227074234,,157.51,190
171.6860465116279,109.0,164.6,190
213.5,99.0,234.89,190
187.5126582278481,107.0,213.45,190
165.0558659217877,99.0,149.51,190
140.2394366197183,,157.07,190
182.11656441717793,126.0,212.82,190
193.7012987012987,122.0,263.15,190
179.32530120481928,,185.39,190
132.42857142857142,194.0,158.53,190
194.36601307189542,135.0,244.98,190
143.64423076923077,,169.45,190
148.75621890547265,184.0,205.09,190
