mean_reward,convergence_episode,last_mean_reward,evals
149.17171717171718,,162.2,165
181.0909090909091,123.0,234.69,165
169.1581920903955,163.0,222.09,165
221.73333333333332,103.0,270.59,165
152.8556701030928,192.0,198.52,165
224.75187969924812,107.0,277.16,165
162.1195652173913,161.0,210.21,165
174.046783625731,151.0,218.84,165
169.3502824858757,158.0,198.25,165
174.953216374269,135.0,210.07,165
175.94117647058823,133.0,219.68,165
194.63636363636363,124.0,250.02,165
191.05806451612904,122.0,238.22,165
153.62564102564102,189.0,212.88,165
213.5857142857143,110.0,260.75,165
154.71502590673575,180.0,215.59,165
180.46987951807228,117.0,227.88,165
166.95505617977528,160.0,223.05,165
179.74698795180723,146.0,250.25,165
133.66071428571428,,184.07,165
171.05142857142857,169.0,213.72,165
195.6225165562914,128.0,245.6,165
149.55555555555554,,149.53,165
132.4513274336283,,114.33,165
163.72677595628414,167.0,208.93,165
