mean_reward,convergence_episode,last_mean_reward,evals
218.68148148148148,111.0,286.05,190
187.9056603773585,122.0,257.93,190
171.0,154.0,248.95,190
208.28671328671328,119.0,283.45,190
203.22448979591837,126.0,284.37,190
171.88888888888889,159.0,231.76,190
225.6793893129771,109.0,286.07,190
195.47682119205297,126.0,265.46,190
132.7422222222222,218.0,217.54,190
198.79054054054055,126.0,271.05,190
217.82962962962964,115.0,284.12,190
201.91836734693877,127.0,278.47,190
211.03546099290782,99.0,284.48,190
188.656050955414,137.0,247.81,190
118.15139442231076,250.0,197.5,190
192.69934640522877,132.0,274.96,190
173.30232558139534,158.0,251.97,190
240.01626016260164,102.0,289.94,190
164.25698324022346,151.0,254.18,190
244.72131147540983,99.0,293.99,190
160.54594594594596,169.0,231.71,190
210.17021276595744,109.0,282.72,190
209.58450704225353,113.0,276.76,190
194.32894736842104,131.0,272.53,190
134.6590909090909,,163.47,190
