mean_reward,convergence_episode,last_mean_reward,evals
209.32394366197184,118.0,257.88,147
146.44607843137254,,148.36,147
250.6386554621849,99.0,289.61,147
189.36942675159236,139.0,247.39,147
207.4788732394366,123.0,270.14,147
197.86754966887418,133.0,254.51,147
180.04268292682926,141.0,226.84,147
157.75661375661375,156.0,208.31,147
154.10416666666666,,164.77,147
211.4964539007092,113.0,277.8,147
168.6497175141243,168.0,224.9,147
179.4578313253012,133.0,248.02,147
187.26415094339623,147.0,241.16,147
215.15328467153284,110.0,278.14,147
136.78899082568807,,153.28,147
188.5,105.0,251.13,147
152.77435897435896,,168.96,147
180.44242424242424,140.0,251.06,147
201.59183673469389,125.0,263.09,147
199.3716216216216,127.0,246.13,147
178.4909090909091,148.0,239.21,147
185.29192546583852,123.0,225.58,147
217.07299270072994,106.0,264.71,147
201.11486486486487,121.0,263.24,147
222.39097744360902,110.0,276.57,147
