mean_reward,convergence_episode,last_mean_reward,evals
159.28494623655914,170.0,218.54,174
226.31060606060606,107.0,290.78,174
139.97652582159625,175.0,192.84,174
193.82236842105263,125.0,277.87,174
143.53883495145632,195.0,216.79,174
141.95215311004785,,140.29,174
163.1693989071038,126.0,207.45,174
130.7488986784141,,180.82,174
191.05806451612904,128.0,280.87,174
123.29166666666667,,174.06,174
228.2,109.0,289.42,174
205.81379310344826,122.0,283.84,174
176.66666666666666,148.0,259.79,174
209.51063829787233,120.0,286.12,174
146.5820895522388,193.0,211.9,174
170.22285714285715,157.0,266.03,174
133.84162895927602,,158.85,174
108.49454545454546,,140.89,174
135.52272727272728,,164.97,174
223.16666666666666,109.0,285.41,174
136.08715596330276,,178.1,174
186.53125,122.0,273.4,174
187.99367088607596,116.0,281.51,174
170.69942196531792,136.0,229.17,174
188.36942675159236,136.0,279.5,174
