mean_reward,convergence_episode,last_mean_reward,evals
246.30833333333334,99,291.4,190
138.7570093457944,179,157.35,190
258.44736842105266,99,291.88,190
270.55454545454546,99,295.64,190
249.36974789915968,99,291.88,190
239.16260162601625,99,288.68,190
203.41095890410958,126,283.2,190
236.66666666666666,105,292.26,190
219.22058823529412,106,290.71,190
232.6171875,107,292.04,190
238.176,102,292.61,190
249.23529411764707,99,291.54,190
209.88732394366198,115,284.23,190
198.5,124,283.81,190
197.7248322147651,130,275.66,190
187.24683544303798,127,266.98,190
202.3835616438356,127,283.36,190
191.07692307692307,124,277.76,190
199.9387755102041,128,281.1,190
228.8372093023256,109,289.05,190
155.7157894736842,175,253.16,190
207.8732394366197,116,283.76,190
248.52100840336135,99,291.44,190
205.28472222222223,114,284.37,190
211.7,119,287.07,190
