mean_reward,convergence_episode,last_mean_reward,evals
151.41836734693877,153.0,209.86,186
165.24309392265192,121.0,229.82,186
164.68156424581005,166.0,250.76,186
176.0654761904762,132.0,264.98,186
187.55974842767296,139.0,279.44,186
150.8020304568528,,189.69,186
184.26708074534162,121.0,241.27,186
147.95544554455446,147.0,196.47,186
154.66145833333334,141.0,209.04,186
189.8397435897436,128.0,267.58,186
172.7674418604651,156.0,237.95,186
190.1464968152866,129.0,267.34,186
140.27962085308056,178.0,213.11,186
189.45859872611464,131.0,281.37,186
159.77540106951872,148.0,234.94,186
146.02941176470588,142.0,165.81,186
182.820987654321,136.0,256.76,186
173.2325581395349,141.0,263.51,186
208.06993006993008,118.0,285.49,186
179.05988023952096,146.0,268.27,186
182.26829268292684,130.0,231.57,186
136.0,217.0,195.94,186
173.8081395348837,136.0,251.39,186
158.98936170212767,149.0,234.28,186
174.40828402366864,147.0,266.41,186
