mean_reward,convergence_episode,last_mean_reward,evals
303.31632653061223,,,190
149.7171717171717,,167.41,190
224.89312977099237,103.0,280.47,190
205.13286713286712,108.0,268.21,190
250.48739495798318,99.0,293.7,190
174.08771929824562,157.0,225.86,190
193.6578947368421,111.0,255.89,190
158.53225806451613,,150.91,190
313.8404255319149,,,190
181.3841463414634,120.0,217.24,190
137.2258064516129,136.0,127.54,190
183.46913580246914,99.0,177.79,190
148.05,193.0,208.19,190
164.4413407821229,160.0,234.08,190
267.44144144144144,99.0,293.7,190
192.98039215686273,118.0,257.46,190
180.55151515151516,116.0,264.83,190
144.9064039408867,126.0,149.42,190
164.24581005586592,,167.4,190
124.17916666666666,,113.85,190
167.63276836158192,152.0,206.53,190
187.42675159235668,115.0,208.04,190
265.32142857142856,99.0,294.49,190
124.68200836820084,,139.63,190
225.5530303030303,99.0,274.68,190
