mean_reward,convergence_episode,last_mean_reward,evals
208.46478873239437,101.0,253.66,195
165.7277777777778,,168.61,195
157.03191489361703,,191.41,195
316.6914893617021,,,195
205.02758620689656,121.0,271.76,195
222.9402985074627,108.0,262.82,195
119.97570850202429,,193.0,195
229.58139534883722,99.0,245.54,195
162.6098901098901,167.0,242.67,195
129.640350877193,,174.65,195
256.1304347826087,99.0,290.95,195
173.3081395348837,,186.56,195
93.9776357827476,312.0,197.26,195
210.2112676056338,103.0,272.41,195
82.86111111111111,,44.13,195
262.75892857142856,99.0,289.68,195
178.90963855421685,153.0,240.51,195
227.14503816793894,99.0,240.44,195
164.06043956043956,161.0,232.95,195
149.94444444444446,,168.13,195
156.37037037037038,182.0,222.94,195
267.7837837837838,99.0,294.7,195
186.01875,128.0,240.57,195
248.9075630252101,99.0,289.65,195
192.56493506493507,113.0,203.66,195
