mean_reward,convergence_episode,last_mean_reward,evals
201.56462585034015,128,283.36,168
191.7207792207792,111,250.36,168
212.77142857142857,102,280.29,168
216.81884057971016,105,278.38,168
162.4891304347826,172,228.26,168
182.80368098159508,145,258.73,168
232.0390625,107,291.07,168
189.5,133,258.86,168
175.42261904761904,143,243.94,168
198.0,126,274.77,168
231.06201550387595,108,291.54,168
197.54,131,280.04,168
208.00694444444446,100,271.84,168
180.88484848484848,129,243.28,168
157.6931216931217,184,207.07,168
189.18354430379748,138,261.86,168
212.34751773049646,117,287.26,168
143.80676328502415,198,199.9,168
213.731884057971,112,282.58,168
173.0693641618497,161,225.03,168
210.8943661971831,121,273.75,168
231.7751937984496,108,291.27,168
169.98285714285714,120,221.08,168
189.36942675159236,122,251.97,168
180.5030303030303,141,232.39,168
