Trial-ID,Status,Iteration,dropout,lr,lr_decay,top_dropout,Objective,test_acc,test_loss
2501,COMPLETED,15,0.0650099388314746,0.020918077702051868,8.846303643265592e-09,0.6930354620028258,0.0444808500095193,0.9877,0.0360920301111415
2512,COMPLETED,15,0.0650099388314746,0.020918077702051868,8.846303643265592e-09,0.6930354620028258,0.04464651538485972,0.9875,0.03754144808538258
2510,COMPLETED,15,0.0650099388314746,0.020918077702051868,8.846303643265592e-09,0.6930354620028258,0.04557957810342001,0.9883,0.03598899965216406
2507,COMPLETED,15,0.0650099388314746,0.020918077702051868,8.846303643265592e-09,0.6930354620028258,0.04406624824348061,0.988,0.03632883342183195
2511,COMPLETED,15,0.0650099388314746,0.020918077702051868,8.846303643265592e-09,0.6930354620028258,0.04451251541504947,0.9871,0.03642412062983495
2509,COMPLETED,15,0.0650099388314746,0.020918077702051868,8.846303643265592e-09,0.6930354620028258,0.041748734334871786,0.9873,0.037478217013319964
2508,COMPLETED,15,0.0650099388314746,0.020918077702051868,8.846303643265592e-09,0.6930354620028258,0.045249309716047716,0.9883,0.035294584028492684
2518,COMPLETED,15,0.0650099388314746,0.020918077702051868,8.846303643265592e-09,0.6930354620028258,0.04550342968731032,0.9879,0.03672248668519314
2517,COMPLETED,15,0.0650099388314746,0.020918077702051868,8.846303643265592e-09,0.6930354620028258,0.04394643988646567,0.9887,0.033555610975995666
2516,COMPLETED,15,0.0650099388314746,0.020918077702051868,8.846303643265592e-09,0.6930354620028258,0.04404066455907499,0.9876,0.035193850423500414
2515,COMPLETED,15,0.0650099388314746,0.020918077702051868,8.846303643265592e-09,0.6930354620028258,0.04110137283499353,0.9877,0.03472627562042325
2514,COMPLETED,15,0.0650099388314746,0.020918077702051868,8.846303643265592e-09,0.6930354620028258,0.04425888859899715,0.9889,0.03585914875580929
2513,COMPLETED,15,0.0650099388314746,0.020918077702051868,8.846303643265592e-09,0.6930354620028258,0.042712782281295714,0.9876,0.034226900260639376
2523,COMPLETED,15,0.0650099388314746,0.020918077702051868,8.846303643265592e-09,0.6930354620028258,0.04568376784585417,0.9869,0.036647982022119684
2520,COMPLETED,15,0.0650099388314746,0.020918077702051868,8.846303643265592e-09,0.6930354620028258,0.043808377872221166,0.9877,0.03677501540703233
2519,COMPLETED,15,0.0650099388314746,0.020918077702051868,8.846303643265592e-09,0.6930354620028258,0.04749550868749308,0.9887,0.03426498089542147
2524,COMPLETED,15,0.0650099388314746,0.020918077702051868,8.846303643265592e-09,0.6930354620028258,0.046303140742781884,0.9878,0.03825607522069477
2522,COMPLETED,15,0.0650099388314746,0.020918077702051868,8.846303643265592e-09,0.6930354620028258,0.042346451656349635,0.9881,0.03691051006235648
2521,COMPLETED,15,0.0650099388314746,0.020918077702051868,8.846303643265592e-09,0.6930354620028258,0.044891900169469104,0.9878,0.03619908384651644
2526,COMPLETED,15,0.14411608474073576,0.023631081057024068,5.483240778729698e-06,0.5948215454445381,0.04310796111938544,0.9888,0.03580723775960505
2530,COMPLETED,15,0.14411608474073576,0.023631081057024068,5.483240778729698e-06,0.5948215454445381,0.041440845441111984,0.9893,0.03258044363320805
2529,COMPLETED,15,0.14411608474073576,0.023631081057024068,5.483240778729698e-06,0.5948215454445381,0.044739858873304915,0.9878,0.036711166670196686
2528,COMPLETED,15,0.14411608474073576,0.023631081057024068,5.483240778729698e-06,0.5948215454445381,0.041525279907160435,0.9886,0.035587451257696384
2527,COMPLETED,15,0.14411608474073576,0.023631081057024068,5.483240778729698e-06,0.5948215454445381,0.04234007523585266,0.988,0.034397024340135966
2525,COMPLETED,15,0.0650099388314746,0.020918077702051868,8.846303643265592e-09,0.6930354620028258,0.04265884221459661,0.9882,0.033563065243139865
2536,COMPLETED,15,0.14411608474073576,0.023631081057024068,5.483240778729698e-06,0.5948215454445381,0.04144823684675309,0.9876,0.03478941384864738
2535,COMPLETED,15,0.14411608474073576,0.023631081057024068,5.483240778729698e-06,0.5948215454445381,0.04237243869675634,0.9897,0.032748340748716145
2534,COMPLETED,15,0.14411608474073576,0.023631081057024068,5.483240778729698e-06,0.5948215454445381,0.04026373232637222,0.9892,0.03221549225235358
2533,COMPLETED,15,0.14411608474073576,0.023631081057024068,5.483240778729698e-06,0.5948215454445381,0.041934086042145886,0.9892,0.03348789813860785
2532,COMPLETED,15,0.14411608474073576,0.023631081057024068,5.483240778729698e-06,0.5948215454445381,0.040455894410066924,0.9889,0.03380508370618336
2531,COMPLETED,15,0.14411608474073576,0.023631081057024068,5.483240778729698e-06,0.5948215454445381,0.043563083330479764,0.9875,0.03694714903413551
