mse,mse_test,evals
8.386655822238668,9.96572749107941,160
8.901942643235289,9.002214408825381,160
8.86012052195655,9.013305318028753,160
8.221579308145301,9.538318173951735,160
7.876593876226277,9.159364688919249,160
8.811339554855275,9.684190144692014,160
11.114516544808332,9.208323718009389,160
8.267945738972907,9.100178194849724,160
8.507812474957507,9.704721989313443,160
9.621870871515506,9.204684113190334,160
9.675240194302084,8.333039481688981,160
8.668867090654066,9.444365331116455,160
9.104859637968483,9.972064812457944,160
8.837815640623688,9.754877881039041,160
9.219832417207568,9.237866142861785,160
8.636894911013789,9.29949973725182,160
9.173526819508615,9.601105889866671,160
9.124149573088582,9.809050971238342,160
8.645343495703578,8.604226687662052,160
8.605997909177608,9.359770234661505,160
7.891189483050686,9.576044284310825,160
9.340665229359068,10.210413449328652,160
8.337242599843535,8.644206672001458,160
8.846490802919321,9.923869078825108,160
8.060366284865559,10.15239770527971,160
