mse,mse_test,evals
9.131556889452668,7.974056543695356,160
7.990647562893233,7.880973688614435,160
9.545412754464644,9.075540659341742,160
10.663412842630347,9.989807411672562,160
9.093573404569494,8.612877370632,160
9.225492557916208,9.450730101316369,160
9.97114185830994,9.58906713808324,160
9.889986036465583,10.179505133959204,160
9.230219075420534,8.583581972315253,160
11.912396827357622,9.313666639607613,160
9.766537212946918,9.140969176974808,160
8.833104796988316,9.893049479728065,160
9.957687938717317,9.234251520337725,160
8.727813615320732,9.106503270209778,160
9.449482117436983,8.778583881588943,160
8.667796604015425,8.66338787774845,160
9.149685977811254,9.588953455286058,160
8.837964957398288,9.610866194847546,160
10.611006461827817,10.300850897106706,160
10.993172369180334,8.900963828386905,160
8.929336017595116,8.916624229600998,160
9.467647143548463,8.726880515913487,160
10.539828389915014,10.862012250937628,160
10.714763512206977,8.984055176657698,160
8.842403246021375,9.208163790334682,160
