mse,mse_test,evals
8.81282015581646,8.643040304048318,160
8.843868017164244,9.786193037477313,160
10.584432758776575,9.905345468830934,160
8.01476433097027,9.313029306896285,160
7.6801617057822,9.031483194303311,160
8.578624073058423,8.933383888613475,160
10.626296512871127,10.787190654543146,160
8.403923277331144,9.091359343651462,160
8.61712001947837,9.061529789387308,160
8.458591683247084,8.97144796725431,160
9.050226818093531,9.825900378245398,160
9.289604534323828,9.261708149211048,160
8.895408458001098,9.836421820117454,160
8.82429311658913,9.604052586086919,160
8.50592705451133,9.289904571383772,160
7.982497606012749,9.438174984985148,160
9.550721593866827,9.11526468869547,160
8.841827537133668,9.880320108149,160
8.307749662406728,9.207657960864918,160
10.330334003365131,8.39194197907384,160
8.007508500086207,9.059775701744021,160
8.663943827424816,9.27707721148315,160
8.301391752046813,9.086177659806284,160
8.090894039429626,9.744156444968455,160
8.618569330939096,8.20891264450022,160
