mse,mse_test,evals
9.415451536706692,9.466752135322333,96
11.10726516137691,10.443639657370026,96
10.0107173001974,9.367929039845562,96
10.922095052255196,10.387587125306931,96
8.991687977088068,9.923920800688999,96
9.257480228447912,9.287466797238455,96
11.364228263182817,9.315178172995251,96
9.220556003445562,9.532689240837124,96
8.363080132115266,10.017846765470221,96
10.046410508287165,10.194741975679959,96
9.35767117552214,8.65800754714362,96
8.998483770138007,9.812701250304656,96
9.096635280612427,9.506258488473396,96
12.910596680491787,10.314072971041327,96
8.740520655427659,8.664734615654348,96
11.718613066800765,8.959299719982708,96
8.108633459839817,10.041344364107674,96
8.989081423073,9.098595212261285,96
10.302533314028015,9.325882581000904,96
11.185234668505355,10.014107703782873,96
8.375468244215403,9.957807972313454,96
10.728571323092847,9.489709670220195,96
7.808544765326496,8.985881649843703,96
9.203134907805058,7.95599472430934,96
10.02147493423518,10.560000929871691,96
