mse,mse_test,evals
7.561706659268372,9.354973624558895,168
7.804738219695666,10.335740137411845,168
10.878742399942137,9.558486560116279,168
8.23442761511617,9.79328708731929,168
9.430032899151351,9.68518803390936,168
9.777476063086647,10.488757539873017,168
10.97370373041989,9.409873060667888,168
8.041023241483025,8.894058483545654,168
9.454813842389756,9.735447526136259,168
9.030539917355858,9.511118804497025,168
8.329111956246395,9.723170439851462,168
9.773537177900279,10.039720888346308,168
8.265682603635096,9.597005333601656,168
9.80349902330226,10.03712584809958,168
8.48156348236247,10.739589757367419,168
8.023491486516502,9.710221535070522,168
9.060118840805409,9.60076391837366,168
7.620735825369705,9.066579916327562,168
12.043671200419798,11.769349498484706,168
9.581858100002261,9.43334338883858,168
10.119502689992988,9.290615434405245,168
9.054397637553567,8.597939619159845,168
9.557163777941916,9.189174535455455,168
9.389274305372647,9.362342879414173,168
8.571183443024399,9.457561660942467,168
