loss,test_loss,evals
0.03018591657218834,0.02870826781884534,141
0.029954120685656865,0.026427458212606142,141
0.029403329045822223,0.02597748039001599,141
0.028645818419754505,0.027080680110590765,141
0.029859371890624365,0.027329171246103942,141
0.030685649471978348,0.02697784392698668,141
0.030530116480464737,0.027272183984774163,141
0.030039562155803046,0.02843541636459995,141
0.029518327355384826,0.027368529690918512,141
0.030429650880396366,0.026678099538630342,141
0.029603318803012372,0.024818040267261678,141
0.02810330041870475,0.02475757074931171,141
0.030701072039703528,0.027763878014939836,141
0.03156821726759275,0.027523851886566263,141
0.029487856247772774,0.02720477380885277,141
0.030543821305036543,0.026005922108422966,141
0.03033110282321771,0.026996628800127657,141
0.03047909573962291,0.026885891394130886,141
0.031193755738437176,0.02662626224961132,141
0.029051042799527447,0.02593031329228543,141
0.03152765407537421,0.028895906597655268,141
0.029981233877440294,0.026154040381032972,141
0.030435454227030277,0.02730566539793508,141
0.030146237490077814,0.026936290660768282,141
0.03080763323356708,0.026625042419799138,141
