loss,test_loss,evals
0.14739999999999998,0.15088000001907353,170
0.14139999999999997,0.15776,170
0.15039999999999998,0.15988000001907343,170
0.14739999999999998,0.16159999999999997,170
0.1492,0.16183999999999998,170
0.14500000000000002,0.15147999996185302,170
0.1502,0.15127999998092656,170
0.15039999999999998,0.15839999996185306,170
0.14680000000000004,0.15268000001907345,170
0.14139999999999997,0.15168000001907345,170
0.14739999999999998,0.15351999996185306,170
0.15480000000000005,0.167879999961853,170
0.1482,0.15451999996185306,170
0.1462,0.15168000001907345,170
0.15000000000000002,0.157559999961853,170
0.15359999999999996,0.16364,170
0.15059999999999996,0.15747999998092654,170
0.15459999999999996,0.16479999998092654,170
0.1452,0.15179999998092653,170
0.1462,0.15088000001907353,170
0.14680000000000004,0.15344000001907354,170
0.1462,0.1539600000190735,170
0.14859999999999995,0.15543999996185298,170
0.1502,0.15507999998092648,170
0.14980000000000004,0.15508,170
